"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20240601","신림선","보라매","3072","2674","20240604",""
"20240601","신림선","서울지방병무청","2343","2503","20240604",""
"20240601","신림선","대방","3095","2055","20240604",""
"20240601","신림선","샛강","1375","1793","20240604",""
"20240601","수인선","인천","1562","2714","20240604",""
"20240601","수인선","신포","1815","1879","20240604",""
"20240601","수인선","숭의","3383","3056","20240604",""
"20240601","수인선","인하대","5611","5215","20240604",""
"20240601","수인선","송도","2372","2344","20240604",""
"20240601","수인선","연수","4916","4849","20240604",""
"20240601","수인선","원인재","4270","4341","20240604",""
"20240601","수인선","남동인더스파크","987","932","20240604",""
"20240601","수인선","호구포","2849","2682","20240604",""
"20240601","수인선","인천논현","5141","5382","20240604",""
"20240601","수인선","소래포구","6473","6444","20240604",""
"20240601","수인선","월곶","2629","2457","20240604",""
"20240601","수인선","달월","76","69","20240604",""
"20240601","수인선","사리","4537","3857","20240604",""
"20240601","수인선","야목","371","305","20240604",""
"20240601","수인선","어천","1420","1156","20240604",""
"20240601","수인선","오목천","3836","2975","20240604",""
"20240601","수인선","고색","3299","3328","20240604",""
"20240601","서해선","부천종합운동장","2042","1727","20240604",""
"20240601","서해선","원종","4549","4324","20240604",""
"20240601","서해선","김포공항","3101","3924","20240604",""
"20240601","분당선","매교","4114","4057","20240604",""
"20240601","분당선","수원시청","13320","15168","20240604",""
"20240601","분당선","매탄권선","4322","4084","20240604",""
"20240601","분당선","망포","11177","10175","20240604",""
"20240601","분당선","영통","8443","8143","20240604",""
"20240601","분당선","청명","3623","3472","20240604",""
"20240601","분당선","상갈","4437","4384","20240604",""
"20240601","분당선","기흥","8174","7392","20240604",""
"20240601","분당선","신갈","3353","3259","20240604",""
"20240601","분당선","구성","3778","3996","20240604",""
"20240601","분당선","죽전","11047","12202","20240604",""
"20240601","분당선","보정","1896","1733","20240604",""
"20240601","분당선","이매","5062","4932","20240604",""
"20240601","분당선","오리","8763","7536","20240604",""
"20240601","분당선","미금","11894","12129","20240604",""
"20240601","분당선","정자","12043","12397","20240604",""
"20240601","분당선","수내","9689","9211","20240604",""
"20240601","분당선","서현","19901","20246","20240604",""
"20240601","분당선","야탑","20452","21308","20240604",""
"20240601","분당선","모란","17463","18088","20240604",""
"20240601","분당선","태평","11443","10724","20240604",""
"20240601","분당선","가천대","7257","7092","20240604",""
"20240601","분당선","선정릉","3855","3805","20240604",""
"20240601","분당선","강남구청","5975","7266","20240604",""
"20240601","분당선","압구정로데오","19842","23239","20240604",""
"20240601","분당선","서울숲","15000","15815","20240604",""
"20240601","분당선","수원","8465","8013","20240604",""
"20240601","분당선","복정","11","0","20240604",""
"20240601","분당선","수서","14520","15231","20240604",""
"20240601","분당선","대모산입구","4586","4355","20240604",""
"20240601","분당선","개포동","3682","3471","20240604",""
"20240601","분당선","구룡","3103","2931","20240604",""
"20240601","분당선","도곡","5738","5214","20240604",""
"20240601","분당선","한티","15072","14805","20240604",""
"20240601","분당선","선릉","6177","9638","20240604",""
"20240601","과천선","범계","24954","24376","20240604",""
"20240601","과천선","평촌","10966","10474","20240604",""
"20240601","과천선","인덕원","19884","19451","20240604",""
"20240601","과천선","정부과천청사","7924","7537","20240604",""
"20240601","과천선","과천","5792","5192","20240604",""
"20240601","과천선","대공원","11555","12012","20240604",""
"20240601","과천선","경마공원","13413","13402","20240604",""
"20240601","과천선","선바위","6393","5101","20240604",""
"20240601","공항철도 1호선","영종","4227","4457","20240604",""
"20240601","공항철도 1호선","인천공항2터미널","7024","6168","20240604",""
"20240601","공항철도 1호선","인천공항1터미널","15586","13913","20240604",""
"20240601","공항철도 1호선","공항화물청사","1312","1414","20240604",""
"20240601","공항철도 1호선","운서","9339","9789","20240604",""
"20240601","공항철도 1호선","청라국제도시","5839","5389","20240604",""
"20240601","공항철도 1호선","검암","5290","5591","20240604",""
"20240601","공항철도 1호선","계양","10977","9901","20240604",""
"20240601","공항철도 1호선","김포공항","9963","4909","20240604",""
"20240601","공항철도 1호선","마곡나루(서울식물원)","6041","6282","20240604",""
"20240601","공항철도 1호선","디지털미디어시티","7980","7414","20240604",""
"20240601","공항철도 1호선","홍대입구","19485","18307","20240604",""
"20240601","공항철도 1호선","공덕","2410","3903","20240604",""
"20240601","공항철도 1호선","서울역","14638","14328","20240604",""
"20240601","경춘선","춘천","2277","1984","20240604",""
"20240601","경춘선","남춘천","3445","3710","20240604",""
"20240601","경춘선","김유정","594","712","20240604",""
"20240601","경춘선","강촌","832","743","20240604",""
"20240601","경춘선","백양리","118","187","20240604",""
"20240601","경춘선","굴봉산","240","249","20240604",""
"20240601","경춘선","가평","3026","3393","20240604",""
"20240601","경춘선","상천","446","416","20240604",""
"20240601","경춘선","청평","2225","2366","20240604",""
"20240601","경춘선","대성리","1756","1758","20240604",""
"20240601","경춘선","마석","3721","3602","20240604",""
"20240601","경춘선","천마산","1452","1462","20240604",""
"20240601","경춘선","평내호평","5068","5065","20240604",""
"20240601","경춘선","금곡","1334","1163","20240604",""
"20240601","경춘선","사릉","1837","1746","20240604",""
